Benchmark,Over-approx.,,Complete,,
,Result,Time,Result,Time
Benchmark,Over-approx.,,Complete,,
,Result,Time,Result,Time
[sac_kin_discrete2d_complex_wo_tanh_436reward - obs_act_y_equals_0.42_start_0.1_1.8_epsilon_0.01.vnnlib],False,3.976291948000039,False,4.421633810999992
[sac_kin_discrete2d_complex_wo_tanh_436reward - obs_act_y_equals_0.43_start_0.1_0.1125_epsilon_0.01.vnnlib],False,3.8729183330000296,False,4.164066670000011
[sac_kin_discrete2d_complex_wo_tanh_436reward - obs_act_y_equals_0.43_start_0.1_1.0_epsilon_0.01.vnnlib],False,4.4284000280000555,False,4.069332648999989
[sac_kin_discrete2d_complex_wo_tanh_436reward - obs_act_y_equals_0.45_start_0.1_1.8_epsilon_0.01.vnnlib],True,3.781878581000001,True,5.199263328000029
[sac_kin_discrete2d_complex_wo_tanh_436reward - obs_act_y_equals_0.46_start_0.1_0.1125_epsilon_0.01.vnnlib],False,4.006233124999994,False,4.837213002999988
[sac_kin_discrete2d_complex_wo_tanh_436reward - obs_act_y_equals_0.46_start_0.1_1.0_epsilon_0.01.vnnlib],False,5.36583920999999,False,4.356379228000037
[sac_kin_discrete2d_complex_wo_tanh_436reward - obs_act_y_equals_0.48_start_0.1_1.8_epsilon_0.01.vnnlib],False,3.594464648999974,False,4.405656647000001
[sac_kin_discrete2d_complex_wo_tanh_436reward - obs_act_y_equals_0.49_start_0.1_1.0_epsilon_0.01.vnnlib],False,3.8734799019999855,False,5.744200341999999
[sac_kin_discrete2d_complex_wo_tanh_436reward - obs_act_y_equals_0.50_start_0.1_0.1125_epsilon_0.01.vnnlib],False,4.033948119999991,False,3.890473044000032
[sac_kin_discrete2d_complex_wo_tanh_436reward - obs_act_y_equals_0.51_start_0.1_1.8_epsilon_0.01.vnnlib],False,4.630338421000033,False,4.827117568999938
[sac_kin_discrete2d_complex_wo_tanh_436reward - obs_act_y_equals_0.52_start_0.1_1.0_epsilon_0.01.vnnlib],False,4.616245450000065,False,5.656406320000087
[sac_kin_discrete2d_complex_wo_tanh_436reward - obs_act_y_equals_0.53_start_0.1_0.1125_epsilon_0.01.vnnlib],False,3.888435117999961,False,4.961422352
[sac_kin_discrete2d_complex_wo_tanh_436reward - obs_act_y_equals_0.54_start_0.1_1.8_epsilon_0.01.vnnlib],False,4.988921699999992,False,4.949180621999972
