Benchmark,Over-approx.,,Complete,,
,Result,Time,Result,Time
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.12_start_0.1_0.15_epsilon_0.01.vnnlib],False,3.028564617000484,False,3.215867017000164
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.12_start_0.1_1.0_epsilon_0.01.vnnlib],False,3.466539899000054,False,2.9475695999999516
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.13_start_0.1_1.8_epsilon_0.01.vnnlib],False,3.3966711510001915,False,3.521174417999646
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.14_start_0.1_0.15_epsilon_0.01.vnnlib],False,3.383758902000409,False,3.3181649930002095
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.14_start_0.1_1.0_epsilon_0.01.vnnlib],False,2.882676796000851,False,3.7367453789993306
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.15_start_0.1_1.8_epsilon_0.01.vnnlib],False,2.6041186989996277,False,3.1292938579999827
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.17_start_0.1_0.15_epsilon_0.01.vnnlib],False,3.350636594000207,False,3.2991911429999163
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.17_start_0.1_1.0_epsilon_0.01.vnnlib],False,3.5078387049998128,False,3.2612561480000295
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.17_start_0.1_1.8_epsilon_0.01.vnnlib],False,3.2664591239999936,False,3.2926479340003425
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.18_start_0.1_1.0_epsilon_0.01.vnnlib],False,2.745077480999498,False,3.4075040810002974
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.19_start_0.1_0.15_epsilon_0.01.vnnlib],False,2.907350063999729,False,3.3522598099998504
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.19_start_0.1_1.8_epsilon_0.01.vnnlib],False,3.3133597980004197,False,3.404517448000661
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.20_start_0.1_1.0_epsilon_0.01.vnnlib],False,2.9551847390002877,False,3.2382412799997837
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.21_start_0.1_0.15_epsilon_0.01.vnnlib],False,3.229363035999995,False,3.4715727980001247
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.21_start_0.1_1.8_epsilon_0.01.vnnlib],False,3.2773587470001075,False,3.5620418090002204
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.22_start_0.1_0.15_epsilon_0.01.vnnlib],False,3.1480448660004186,False,3.0009105420003834
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.22_start_0.1_1.0_epsilon_0.01.vnnlib],False,8.460803672999646,False,2.9917777009995916
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.23_start_0.1_1.8_epsilon_0.01.vnnlib],False,3.6506852089996755,False,3.25809891300014
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.24_start_0.1_1.0_epsilon_0.01.vnnlib],False,3.4385841850007637,False,3.104245993999939
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.25_start_0.1_0.15_epsilon_0.01.vnnlib],False,3.1528455729994675,False,3.2647514110003613
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.25_start_0.1_1.8_epsilon_0.01.vnnlib],False,2.883344754999598,False,3.0898357989999568
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.26_start_0.1_1.0_epsilon_0.01.vnnlib],False,3.295318258000407,False,9.308835210000325
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.27_start_0.1_0.15_epsilon_0.01.vnnlib],False,3.2668737829999372,False,2.9464223810000476
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.27_start_0.1_1.8_epsilon_0.01.vnnlib],False,3.165324595999664,False,3.053308764000576
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.29_start_0.1_0.15_epsilon_0.01.vnnlib],False,3.0558473729997786,False,3.2085269850003897
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.29_start_0.1_1.0_epsilon_0.01.vnnlib],False,3.444345976000477,False,2.889353372000187
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.29_start_0.1_1.8_epsilon_0.01.vnnlib],False,3.5322774799997205,False,3.27206078800009
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.30_start_0.1_1.8_epsilon_0.01.vnnlib],False,2.9818489039998894,False,3.082204212000761
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.31_start_0.1_0.15_epsilon_0.01.vnnlib],False,3.100131842999872,False,3.2224123899995902
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.31_start_0.1_1.0_epsilon_0.01.vnnlib],False,3.121245452999574,False,3.645139031000326
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.32_start_0.1_1.8_epsilon_0.01.vnnlib],False,2.642225802000212,False,3.4948516390004443
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.33_start_0.1_1.0_epsilon_0.01.vnnlib],False,3.300522643000477,False,3.0193375819999346
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.34_start_0.1_0.15_epsilon_0.01.vnnlib],False,3.2024028280002312,False,3.6572649660001844
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.34_start_0.1_1.8_epsilon_0.01.vnnlib],False,3.1307570919998398,False,3.1893574299992906
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.36_start_0.1_0.15_epsilon_0.01.vnnlib],False,2.984056919000068,False,3.4052992010001617
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.36_start_0.1_1.0_epsilon_0.01.vnnlib],False,3.2648982249993423,False,3.4721868259994153
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.36_start_0.1_1.8_epsilon_0.01.vnnlib],False,2.928583623999657,False,3.352775303999806
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.38_start_0.1_0.15_epsilon_0.01.vnnlib],False,3.0706450229999973,False,3.2125147409997226
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.38_start_0.1_1.0_epsilon_0.01.vnnlib],False,3.0842624319993774,False,3.409594515000208
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.38_start_0.1_1.8_epsilon_0.01.vnnlib],False,2.840001754999321,False,3.321161482000207
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.40_start_0.1_1.8_epsilon_0.01.vnnlib],False,3.458688126999732,False,3.1497207680004067
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.41_start_0.1_0.15_epsilon_0.01.vnnlib],False,3.1282937519999905,False,4.322216442999888
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.41_start_0.1_1.0_epsilon_0.01.vnnlib],False,3.0615197880006235,False,3.401328019000175
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.42_start_0.1_1.8_epsilon_0.01.vnnlib],False,3.4845335449999766,False,3.1206641470007526
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.43_start_0.1_0.15_epsilon_0.01.vnnlib],False,3.234070825999879,False,3.4990764849999323
