Benchmark,Over-approx.,,Complete,,
,Result,Time,Result,Time
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.36_start_0.1_1.8_epsilon_0.01.vnnlib],True,4.857744474000356,True,3.6981004660001418
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.38_start_0.1_0.15_epsilon_0.01.vnnlib],True,4.0659883859998445,True,4.194661656999415
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.38_start_0.1_1.0_epsilon_0.01.vnnlib],False,3.992359521999788,False,4.12900347499999
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.38_start_0.1_1.8_epsilon_0.01.vnnlib],False,3.903399024000464,False,4.106469344000288
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.40_start_0.1_1.8_epsilon_0.01.vnnlib],True,4.162633117000041,True,4.630016492000323
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.41_start_0.1_0.15_epsilon_0.01.vnnlib],True,4.182452367999758,True,4.7818783339998845
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.41_start_0.1_1.0_epsilon_0.01.vnnlib],True,4.493772413999977,True,4.236734276999414
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.42_start_0.1_1.8_epsilon_0.01.vnnlib],True,4.63307844100018,True,3.9273774299999786
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.43_start_0.1_0.15_epsilon_0.01.vnnlib],True,4.299305566999465,True,5.495148606999464
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.44_start_0.1_1.0_epsilon_0.01.vnnlib],True,6.031738086000587,True,3.941885260000163
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.44_start_0.1_1.8_epsilon_0.01.vnnlib],True,5.287850896999771,True,4.59688842200012
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.46_start_0.1_0.15_epsilon_0.01.vnnlib],True,4.63440163300038,True,4.4368855940001595
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.46_start_0.1_1.0_epsilon_0.01.vnnlib],True,4.11159219000001,True,4.310266616999797
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.47_start_0.1_1.8_epsilon_0.01.vnnlib],True,5.063890811999954,True,3.6877963090000776
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.48_start_0.1_0.15_epsilon_0.01.vnnlib],True,4.644185452000784,True,3.782482517999597
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.49_start_0.1_1.0_epsilon_0.01.vnnlib],True,4.139755842999875,True,4.389669865000542
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.49_start_0.1_1.8_epsilon_0.01.vnnlib],True,4.219441689000632,True,4.017541857000651
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.51_start_0.1_0.15_epsilon_0.01.vnnlib],True,3.390584547999424,True,4.8257846520000385
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.51_start_0.1_1.8_epsilon_0.01.vnnlib],True,3.134156965999864,True,3.1445611079998343
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.52_start_0.1_1.0_epsilon_0.01.vnnlib],True,3.354935628000021,True,3.1668839929998285
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.53_start_0.1_0.15_epsilon_0.01.vnnlib],True,3.7623812580004596,True,3.286165391000395
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.53_start_0.1_1.8_epsilon_0.01.vnnlib],True,3.5709771589999946,True,3.907531901000766
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.54_start_0.1_1.0_epsilon_0.01.vnnlib],True,3.294650733999333,True,3.2845660850007334
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.55_start_0.1_0.15_epsilon_0.01.vnnlib],True,3.528009779000058,True,3.3774719659995753
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.56_start_0.1_1.8_epsilon_0.01.vnnlib],True,3.514283603999502,True,3.350243889000012
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.57_start_0.1_1.0_epsilon_0.01.vnnlib],True,3.460006773000714,True,3.0001019049996103
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.58_start_0.1_0.15_epsilon_0.01.vnnlib],True,3.530310254000142,True,3.6049120920006317
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.58_start_0.1_1.8_epsilon_0.01.vnnlib],True,4.011999926000499,True,3.307532151000487
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.60_start_0.1_0.15_epsilon_0.01.vnnlib],True,3.2448599989993454,True,3.2730980919996
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.60_start_0.1_1.0_epsilon_0.01.vnnlib],True,4.1221803890002775,True,3.1789438870000595
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.60_start_0.1_1.8_epsilon_0.01.vnnlib],True,3.642945429000065,True,3.4918815310002174
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.62_start_0.1_0.15_epsilon_0.01.vnnlib],True,3.666658013000415,True,3.745938901000045
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.62_start_0.1_1.0_epsilon_0.01.vnnlib],True,3.6857764380001754,True,3.247755803000473
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.62_start_0.1_1.8_epsilon_0.01.vnnlib],True,3.58796561500003,True,3.468499542000245
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.64_start_0.1_0.15_epsilon_0.01.vnnlib],True,3.5473091920002844,True,3.2405030589998205
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.64_start_0.1_1.8_epsilon_0.01.vnnlib],True,3.5952802629999496,True,3.250120552000226
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.65_start_0.1_1.0_epsilon_0.01.vnnlib],True,3.638878585999919,True,3.049103195000498
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.66_start_0.1_1.8_epsilon_0.01.vnnlib],True,3.6542202390000966,True,3.3891919389998293
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.67_start_0.1_0.15_epsilon_0.01.vnnlib],True,2.8901623849997122,True,3.6102412410000397
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.67_start_0.1_1.0_epsilon_0.01.vnnlib],True,3.8573165330008123,True,3.2735785009999745
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.68_start_0.1_1.8_epsilon_0.01.vnnlib],True,3.3243943509996825,True,3.0757542840001406
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.69_start_0.1_0.15_epsilon_0.01.vnnlib],True,3.3536914370006343,True,2.9398511480003435
